assumption_key,value,unit,provenance,editable,description
fx_pkr_per_usd,280,PKR per USD,Synthetic D6 demonstrator assumption,true,Converts USD-denominated synthetic enterprise values into PKR millions.
statutory_cit_rate,0.29,share,Synthetic ordinary benchmark assumption,true,Ordinary corporate income tax rate used for the no-SEZ-specific-incentive reference case.
discount_rate,0.12,share,Synthetic D6 demonstrator assumption,true,Base discount rate for NPV calculations using 2026 as the base year.
projection_start_year,2026,year,Concept note D6/D7 window,false,First fiscal year in the synthetic D6 model.
projection_end_year,2035,year,Concept note hard cap,false,Last year before full CIT with no SEZ-specific incentive after 30 June 2035.
current_holiday_exemption_share,1.0,share,Synthetic protected-treatment assumption,true,Protected CIT exemption share under current status-quo treatment.
holiday_expiry_year,2035,year,Concept note hard cap,true,Current holiday/protected treatment stops no later than FY2035.
assessed_income_growth,0.03,annual growth share,Synthetic D6 demonstrator assumption,true,Annual growth in ordinary benchmark assessed income.
eligible_expenditure_growth,0.02,annual growth share,Synthetic D6 demonstrator assumption,true,Annual growth in qualifying CAPEX/R&D/training expenditure.
ordinary_capex_depreciation_years,5,years,Synthetic ordinary benchmark assumption,true,Simple straight-line ordinary depreciation period used to compare immediate expensing fairly.
instrument_package,full,text,Synthetic D6 demonstrator assumption,true,Selected instrument package for the one-decision calibration view using full or capex_only or rd_training.
capex_deduction_rate,0.75,share,Concept note D7 instrument demonstrator,true,Immediate expensing share for qualifying CAPEX in the cost-based scenario.
rd_super_deduction_total_rate,1.5,total deduction multiple,Concept note Table 7.2 illustrative parameter,true,R&D total deduction multiple; only the increment above 1.0 is modelled as SEZ-specific.
training_super_deduction_total_rate,1.5,total deduction multiple,Concept note Table 7.2 illustrative parameter,true,Training total deduction multiple; only the increment above 1.0 is modelled as SEZ-specific.
utilization_rate,0.80,share,Synthetic uptake/utilization assumption,true,Share of generated eligible deductions claimed in the year generated.
annual_deduction_cap_pkr_m,18000,PKR millions,Synthetic D6 demonstrator assumption,true,Per-enterprise annual deduction cap applied before carry-forward; set high enough that rate/package changes are visible before the cap binds.
qualifying_expenditure_threshold_pkr_m,3000,PKR millions,Synthetic D6 demonstrator assumption,true,Minimum annual qualifying expenditure required before an enterprise can generate a cost-based deduction claim.
carry_forward_years,3,years,Synthetic tax-basis convention,true,Unused deductions may be carried forward for this many fiscal years.
additionality_low,0.10,share,Synthetic evidence-bounded sensitivity,true,Low additionality share for incremental activity conversion.
additionality_base,0.22,share,Synthetic evidence-bounded sensitivity,true,Base additionality share for incremental activity conversion.
additionality_high,0.38,share,Synthetic evidence-bounded sensitivity,true,High additionality share for incremental activity conversion.
status_quo_additionality_factor,0.35,share,Synthetic D6 demonstrator assumption,true,Reduced response factor applied to the status-quo protected-treatment path; not a causal estimate.
taxable_return_on_incremental_expenditure,0.18,share,Synthetic D6 demonstrator assumption,true,Incremental assessed income generated by prior-year qualifying expenditure and additionality.
additionality_income_lag_years,1,years,Synthetic D6 demonstrator assumption,true,Lag between qualifying expenditure and incremental assessed income.
admin_cost_per_enterprise_pkr_m,0,PKR millions per year,Synthetic administrative-cost assumption,true,Legacy flat admin-cost field retained for compatibility; default calculation uses review hours and audit sample assumptions.
admin_review_hours_per_claim,24,hours,Synthetic administrative-capacity assumption,true,Expected desk-review hours per cost-based deduction claim.
admin_audit_hours_per_claim,72,hours,Synthetic administrative-capacity assumption,true,Expected audit hours for sampled claims.
audit_sample_rate,0.25,share,Synthetic administrative-capacity assumption,true,Illustrative share of claims sampled for audit.
admin_cost_per_review_hour_pkr_m,0.018,PKR millions per hour,Synthetic administrative-capacity assumption,true,Illustrative fully loaded public review cost per hour.
fixed_admin_cost_per_claim_pkr_m,0.35,PKR millions per claim,Synthetic administrative-capacity assumption,true,Fixed processing/setup cost per claim.
annual_fte_hours,1760,hours,Synthetic administrative-capacity assumption,true,Annual productive review hours per full-time equivalent used for workload estimates.
status_quo_customs_annualization_years,5,years,Synthetic customs timing schedule,true,Cumulative customs exemption is annualized over this period for contextual fiscal-cost reporting.
d5_fiscal_envelope_pkr_m,30000,PKR millions,Synthetic D5 demonstrator ceiling,true,Illustrative fiscal envelope for testing temporary cost-based pilot parameters; not a validated D5 fiscal estimate.
fiscal_envelope_definition,illustrative_D5_fiscal_ceiling_for_synthetic_cost_based_pilot,text,Synthetic D5 demonstrator ceiling,true,Visible definition for the fiscal envelope used in frontier tests.
pilot_uptake_share,0.60,share,Synthetic D7 pilot uptake assumption,true,Share of otherwise eligible enterprises included in the combined transition plus pilot scenario.
cohort_eligibility_policy,unresolved,text,Unresolved D4/Finance legal-policy switch,true,New/cohort eligibility is unresolved by default and cannot support final policy recommendation.
